Tweet_ID,Tweet_Date,User_Name,User_ID,Favorite_CT,Retweet_CT,score,Content
9.864E+17,24:37.0,TheSchoolPsych,15587223,1,0,,"I find it very annoying when people improperly use ""backslash"" to refer to website addresses.  Backslashes are used in local file names.  Forward slashes are used in remote file address (like webpages).  #soapbox #EndOfRant"
9.86335E+17,04:27.0,MarcandKelli,1342037238,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/i16g6XVivN
9.86264E+17,24:02.0,polymathicman,41744790,1,0,,"#UncleSam can watch me swerve today. #TaxDay happened for us in February. Thanks #SBATaxman! Don't forget... if you don't happen to owe, and you get money back, remember that the money you get back was yours in the first place, so invest it wisely. #Soapbox #unsolicitedadvice"
9.86051E+17,18:17.0,stormi_tennison,8.7207E+17,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/J1XFJOt3B1
9.85613E+17,17:46.0,simanovicki,559007114,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/BRXpKAj7xU
9.85585E+17,26:52.0,pramactive,609385580,1,2,,Put together a #soapbox for our #charity #bigpush2018. This year we supporting our local… https://t.co/QMtCcZhni9
9.85342E+17,18:21.0,DuVegan,3187145860,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/i9Se20za28
9.85264E+17,10:01.0,DrSuzyFeigofsky,8.43844E+17,1,0,,"@fitmslax Should I get out my #soapbox? My daughter never had chocolate milk before she went to school. Let alone, walking tacos, crispitos or any other processed crap that we don’t eat at home. #EatRealFood #HealthyFood"
9.85057E+17,28:17.0,kitchigiwah1,9.58487E+17,1,1,,@TomiLahren #SupportPresidentTrump or get off your #soapbox
9.85056E+17,22:28.0,kitchigiwah1,9.58487E+17,1,1,,"@TomiLahren No #International #LawandOrder , #no #soapbox for #you Missy"
9.84939E+17,40:41.0,Barbara06056191,1244535720,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/nQIMIboS4Q
9.84938E+17,36:50.0,NonnaLP,20343132,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/tnp1jpHY8s
9.84877E+17,34:24.0,vickie7063,526064871,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/cJhCghwSgK
9.84735E+17,07:25.0,MzBeeBeeTweets,2344983606,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/T9P0W2RVbM
9.84693E+17,22:08.0,craftymom113,475876935,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/JTxxZCxwi3
9.84657E+17,58:26.0,NordicCombined2,3006752897,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/gTXutfaTEu
9.84629E+17,07:26.0,gracebertou,3014716678,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/SK0Nd9dFIU
9.84551E+17,56:12.0,chrozy,39262142,1,0,,"#DrPhil So why didn't the baby's father take care of his son? #BabyDaddy must be #worried/#Scared for his son!The biggest #decision a woman must make is who will father her #baby! When DrPhil brings the #FATHER on &amp; asks HIM ""WTF RU doing"" I'll respect this #Soapbox #reasoning."
9.83759E+17,28:55.0,mnsteph,124259972,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/459QRNYODx
9.83741E+17,18:22.0,corakins,31346870,1,0,,Twitter:Where you can get in long discussions about it religion and masturbation... because why not? Also- SEXUALITY is NOT A DAMN SIN! #soapbox
9.83731E+17,38:21.0,relthadon,1126009945,1,0,,#soapbox #levelup #goodenergy breeds #confidence #livemixtapes #spinrilla #datpiffmixtape… https://t.co/gbnHleYNLm
9.83683E+17,28:56.0,MrMattWolfenden,433383561,1,0,,"@rachy20188 @thismorning Ran out of time! But don’t worry, I’ll be starting with Hollyoaks next week. So make sure you’re tuned in for the goss! 😉 xx #ThisMorning #soapbox"
9.83547E+17,28:40.0,lindapink707,8.40148E+17,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/A7e6uyFdQs
9.83545E+17,20:18.0,upstatemissy,409219427,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/F5er0UmrLc
9.83544E+17,14:12.0,Jenn2313,29932886,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/llaWjyYaIk
9.83543E+17,13:18.0,aabx2alicia,8.52972E+17,1,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/x0YMLAMrMZ
9.83455E+17,20:38.0,thatirishkid617,148781711,1,0,,"yes, that made me really fuxin mad...not cooland we live in an era were #SJWs jump on anything deemed ""inappropriate"" but a depression joke is ok? This honestly boggles my mind... #MentalHealthAwareness #PTSD #Soapbox #DeucesUp #DropsMic #ImDone"
9.83447E+17,48:45.0,CorkBizTweetUp,9.59543E+17,1,1,,@CorkHour We are looking forward to hearing people's #stories of their biz with our #soapbox #pitch4progress section. Come along and #connect #engage and #learn #CorkBizTweet #corkhour
9.86996E+17,54:03.0,PharmTech1956,4548301475,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/K8DnKn0F9d
9.86924E+17,07:55.0,MarieAllardyce,245592058,0,0,,I don't like getting into #PoliticalDebates but that doesn't mean I don't have an #opinion! However...get on a subject i'm passionate about and I'll stand on my #soapbox and give a great speech! But then im biased.. lol 😜
9.86732E+17,23:20.0,tonetash02,29704752,0,0,,Get your own Top Seller Bundle when you win a @SoapBoxSoaps Top Sellers Bundle on @DealsAmongUs! #giveaway #soapbox #arganoil #haircare https://t.co/aYDdQt9S65
9.86708E+17,49:20.0,MikeSavad,333336403,0,0,,#NEW 5th Times a charm 1915 https://t.co/qjZScMrQ4O #savad #kids #children #soapbox #soapboxRacer #afericanAmerican #summertime #barefootFollies
9.86677E+17,46:35.0,MikeSavad,333336403,0,0,,Children - 5th times a charm 1915 https://t.co/qL2YLUobAk #savad #kids #children #soapbox #africanAmerican #americana #fun
9.86649E+17,55:19.0,dadof2dents,388909858,0,0,,@Comey @HillaryClinton @WhiteHouse it's time to not give that puke in OUR #WhiteHouse a #SOAPBOX TO #LIE and just look #stupid anymore. Let's start the #TRUMPOFFTWITTER challenge. #unfollowtrump and maybe he will #goaway #TRUMPOFFTWITTER
