Tweet_ID,Tweet_Date,User_Name,User_ID,Retweet_CT,Content
9.66667E+17,33:47.0,0c3a7d5072ae431,3014885902,0,@milkyboobs Aahh yeah him 🤔...... #noidea 😉..They're nice thou
9.66675E+17,02:29.0,JohnHoltNews,368540082,0,Urban district open. Suburbs closed? #NoClue https://t.co/AQH9ESN8Q0
9.66684E+17,40:12.0,CollarsHel,1603074301,0,@realDonaldTrump @NRA How much did they pay you this week ?#Hypocrite #Bloodonyourhands #idiot #noclue
9.66686E+17,46:54.0,theJudgeGlass,309239611,0,@JYSexton Absolutely everything. #NoClue
9.66689E+17,59:44.0,ksmith474,55567369,0,"Wow, @BrookeBCNN has #NoClue what journalism is but she sure knows what #Activism is. #LyingHack  #HackBaldwinhttps://t.co/3hVrKckYwW"
9.66697E+17,33:20.0,CSLCHSnMore,2527828914,0,Fake gospel?? What are you talking about? #NoClue https://t.co/mH8170xFCX
9.66729E+17,39:40.0,thsrenegadelove,23956659,0,I just spent the whole drive through the Holland Tunnel trying to figure out how the hell you build an underwater tunnel. 🤷🏼‍♀️ #noclue
9.66736E+17,06:32.0,SplaineBoy,545628681,0,I don’t know what the hell this is but I see people going to it. #vero #socialmedia #noclue… https://t.co/Yza5aifJVJ
9.66739E+17,17:44.0,DoYouMineCrypto,8.85992E+17,0,@CNNPR Never have?! #bs #bullshit #liars #theworst #noclue #propaganda #owned
9.66747E+17,49:23.0,JCostelloEsq,29373815,0,@TalbertSwan @HopeRadio1 @realDonaldTrump It was worse to see him go on a rif live. #MoronInChief #noclue
9.66751E+17,05:06.0,GeneralGCuster,379476932,0,"@RalstonReports As a business heir with 5 corporate bankruptcies, Mr. #tRump literally has no clue how to manage anything. None. #NoClue"
9.66761E+17,44:58.0,AndySavva67,456006478,0,"Because they don’t care, you are just a number they are getting as bad as @Ryanair #noidea https://t.co/P2i40PALIx"
9.66785E+17,21:15.0,whoisalexwho,8.31695E+17,0,My uber driver took this one 📸#bestdateever #why? #whynot #empire #shine #whoisalexwho #noidea… https://t.co/Y0phGVjQEQ
9.66788E+17,31:25.0,whoisalexwho,8.31695E+17,0,My uber driver took this one 📸#bestdateever #flipthescript #whoisalexwho #🤷🏽‍♀️ #noidea… https://t.co/RnaGA1InMu
9.66791E+17,45:30.0,Azreal_Angel,9.66753E+17,0,First Tweet! Now how do I do things...... #noclue
9.66798E+17,13:47.0,tenchylad,2347210876,0,@CBSNews Fire with fire...yeah great idea Don lad...that will solve the issue !!!! #noidea
9.66819E+17,37:38.0,MinorAtomAA2017,9.05439E+17,0,1-0 Guelph...#noidea #maybedavison?
9.66837E+17,48:16.0,Sainter69,8.718E+17,0,@realDonaldTrump Just keep patting yourself on the back ya muppet! #noidea
9.66857E+17,08:41.0,Eternal_Panda,576914592,0,Worst experience was dealing with unemployment#noidea #MS #noonehelped #fuckem
9.66893E+17,28:52.0,XX_PINGERS_XX,1618898058,0,@RalphyHeraldSun Stick to footy Ralph’s remember when u back against the team you support in the finals. #NoIdea #Flog
9.66894E+17,33:16.0,Timmay55,272645947,0,I finally figured out Curling and now they give me the Biathlon relay.  #noclue  #Olympics2018
9.66918E+17,10:08.0,mija1310,235914415,0,Because MORE guns is the answer... #noclue https://t.co/dh5iINxE6y
9.66929E+17,52:19.0,c_collins71,470907971,0,@nblyth I’d imagine your watch stopped @SW_Help #noclue
9.66933E+17,08:26.0,DiceMenCometh,2705827520,0,Yes!!! Take that Leon!!! #noidea #totallywrong #terraformingbars https://t.co/SKAydHY9ew
9.67005E+17,57:04.0,DMJII,25643921,0,@HamburglarMcD @StargirlPegues @BalkeBen @scrowder You clearly have not actually listened to Ben Shapiro. #noclue
9.67047E+17,43:37.0,Katy_Llwyncrwn,92028146,0,This is where lack of knowledge about the industry that I work in can be detrimental.!! #NoClue https://t.co/JCIS0ZmcCP
9.67058E+17,24:48.0,BrilliantBrende,3295876703,0,"@Chakungwa2 @SkySportsPL 😂😂😂😂😂😂😂 oh dear, #noidea"
9.67058E+17,27:12.0,carmenyoungxo,525819973,0,"If I didn’t have @LucyMae___ to help me, I’d be screwed when it comes to make up 😭😂🤦🏽‍♀️💆🏽 #noclue"
9.67071E+17,16:06.0,caraluhring,20876531,0,@ABC When your president takes talking points as his own from a grieving parent. #noclue
9.67077E+17,42:45.0,anniemanc,112138311,0,@CNN What a f**king moron!! #noidea
9.6709E+17,33:33.0,orangepascal,15341301,0,@xiotex And that's after three paragraphs about their company.. #NoIdea
9.67115E+17,12:18.0,quantick,25508972,0,The Optimists Of Nine Realms #noidea
9.67131E+17,16:09.0,emilnatas,2909799093,0,That’s when I was trying to search about infection control using google 😂🤣#fun #funny #noidea… https://t.co/qMRKhHtDdC
9.67148E+17,24:31.0,AaronHickton,135656819,0,Absolutely loving @TheJaneMcDonald Tonight 😂 #noidea 😂 #rivercruise this type of cruise I could actually try ! #Vietnam 🛳⛴🚢⚓️
9.67153E+17,42:56.0,TwobearsDad,74639619,0,@ASavageNation A 44 #glock  with a 20 round #clip ? #really you clearly have #noidea of what you speak!
9.67199E+17,48:12.0,Lwbayfront,8.04501E+17,1,This guy is an idiot!😂😂😂#noclue https://t.co/gVubOsMWXP
9.67213E+17,41:17.0,TammyJarrard,861871424,0,"@GeorgeTakei Honey, you might want to check with your security (who has guns). The NRA doesn’t sell guns. Gah!  #eyeroll #noclue"
9.67225E+17,31:20.0,Psully68,9.0503E+17,1,#ISurvivedTheZombieApocalypseBy  swiping left or was it right#noidea
9.67244E+17,44:16.0,rhubarbtime65,592282913,0,The US commentary on curling is sorely lacking.  I really miss Russ Howard’s insight.  #noclue
9.67274E+17,45:31.0,NotLikeTheTown,838000590,0,She’s a bit of a spaz... but she’s our spaz 💕 #wonderwhereshegetsit #noidea #blackandwhitecat… https://t.co/hTypDr03Wa
9.673E+17,25:54.0,LeylaD07,9.66391E+17,0,When you can't even begging to describe your mood #noclue
9.67305E+17,49:13.0,Settled13,27018657,0,"@KBoopaloo Precious, that would be me. #noclue"
9.67322E+17,53:37.0,FMAcidphire21,2597898223,0,After a month of trying to get my head around the squad is hard! and trying to work out why i sold two players #NoIdea
9.67344E+17,22:36.0,lil_x1988,410974062,0,Ready for my first birthday surprise! #noidea #whoscoming #day #night #activity #food #drinks
9.67347E+17,35:50.0,Ken_Bates_PA,353333960,0,@TheFlame25 Not sure. I've just got one it's from the 26th Janthe NIP was produced on the 22nd Feb #noidea
9.67367E+17,53:19.0,TSteve17,92283065,0,@chrisyelland In her defense .... She was incapable of performing her duties to start with.All the gear and #NoIdea
9.67382E+17,52:06.0,Pianomack,69175968,0,No idea what happened here... 😐#noidea #confusion #ontoure @ Hafjell Skisenter https://t.co/Pm59e0jBOf
9.67406E+17,30:38.0,Locallyyokel,4550761294,0,@samwalker0151 What an utter plonker.#NoIdea
9.67426E+17,49:37.0,joethepikr,1962936980,1,Please what does she know! lol #noclue keep reading what the screen tells you! #useless https://t.co/JIBp1WYaCc
9.6743E+17,04:58.0,wiseoldsoc,482202493,0,@gavin_potts2 we’ve been poor Gav but the ref has crucified us all day up front. #noclue
9.67437E+17,30:56.0,FabledFirmino,23740858,0,In form is he Lucy? @LucyZelic #Mane #Noclue
9.67469E+17,38:47.0,ThisIsEm30,4588139897,0,*googles who Chloe is* #Takemeout #noidea
9.67474E+17,59:44.0,tommalone1952,233823468,0,@realDonaldTrump You're an idiot !!! #NoClue #WorstPresidentEver
9.67482E+17,31:12.0,RyanBaerPGA,93715160,0,Def has a few beers and thought I saw @PaigeSpiranac and her twin sister at the bar 🤨😂🤷🏻‍♂️..#Birthday #NoClue
9.67512E+17,30:53.0,hendos,21466175,1,Lady on @sunriseon7 blaming schools for her 12 year old not knowing their tables...tip..how about you do something at home with them #noclue
9.67593E+17,50:06.0,benhund,161005957,0,Please @TheTweetOfGod don’t ever let the SEC be considered a basketball conference @UF and @AuburnMBB #noclue
9.67595E+17,00:14.0,cray_z_kage,273698819,0,@dickwhy22 “How is that like even comfortable?”🤷🏻‍♀️ #noclue #Longhairdontcare #NCAA #A10MBB
9.67676E+17,22:00.0,fit4footy,419429858,0,Hey @FOXFOOTY can you turn the effects mic's off please? Listening to @WestCoastEagles supporters is making me sick! #noidea #JLTSeries
9.67686E+17,02:20.0,elizanne,25894460,0,"@FoxNews @JudgeJeanine Thats just made up bull crap.  Very few out here in the ""regular"" US think that.  #noclue"
9.67702E+17,03:46.0,ShaunCaruana,196097228,0,@iamstevenico @JasmineKeung @clif_high Don’t worry about theses gooses Nico.. #noidea
9.67704E+17,14:29.0,BTavi97,7.63452E+17,0,"😂Well, learning new things it's always good. So let's ;earn how to use this social platform #newbie #noidea #trying"
9.67714E+17,53:59.0,mjoyce009,376965717,0,Labour flip flopping on Brexit plan. Tories not the only party in turmoil over plans. #brexit #JeremyCorbyn #noidea  https://t.co/N0ZoKnOvlw
9.67756E+17,41:26.0,1FireFox,38468995,2,@guskenworthy You are a special kind of idiot. Just say thanks for the support @guskenworthy #noclue #notrspect #notmyolympian
9.67766E+17,19:39.0,ThisIsEm30,4588139897,0,@jameelajamil Who are they again? #noidea
9.67771E+17,40:46.0,PaulArestides,710561502,0,Great to be watching United from the 70s. Getting bossed at Old Trafford. #MUFC #Boring #defensive #NoClue #ManUnited
9.67805E+17,54:27.0,anarchyal666,234311380,0,@SeanBouw @SuperSportTV Someone who has #noclue what the 1st round is and #cupfinal is
9.67816E+17,39:48.0,Andykaren7893,304591500,0,"@tes Thats spin for they're now ""sh**ting themselves"" #nostrategy #noclue"
9.67818E+17,47:02.0,Chad_sfc,347444623,0,This ref does not like arsenal!! #CarabaoCupFinal #shitref #noclue
9.67821E+17,56:37.0,blufferthegreek,337377971,0,"3-0 is flattering, to us. We are an utter fucking shambles. #NoLeadership #NoHeart #NoClue"
9.67827E+17,21:07.0,JemMoss123,58239895,0,Has that feeling where I don’t even know how I am feeling...too many emotions are going round my head! Don’t know what to say or do #noidea
9.6787E+17,13:54.0,karlos108810,365512714,0,@ArsenalFanTV When he changes his diet I will change his mind!! #fatboy #noclue
9.6791E+17,52:35.0,Timmy10_10Ellis,415896819,0,Dumbest TWEET in twitter history #OMG #NOIDEA https://t.co/IoGMhHsOn5
9.67912E+17,58:01.0,Sinfire,16071502,0,@realDonaldTrump How about banning semi-automatic assault rifles?  That would be doing something.  #NoClue #NoGuns #NeverAgain #ImpeachTrump
9.6792E+17,29:31.0,HoffpaulPaul,2820196025,0,@OliverMcGee @DLoesch Ugly opportunist @davidhogg111 #NoClue #Reality #Loser
9.67942E+17,00:07.0,kanewman,12499912,0,#NCAABasketball has a huge problem and Im convinced they have #NoClue how to deal with it #HoopDreams &gt; #HoopNightMares
9.67967E+17,38:09.0,The_Cinebyte,7.90396E+17,0,@johnfromconn77 Sure.  #noclue #whynot
9.67977E+17,18:36.0,iHumble,31168926,0,"NBA Youngboy? I'm old man, and happy about it. #noclue Lol https://t.co/J41W2kPmao"
9.67979E+17,25:59.0,raider2402,134134449,0,@Rosenbergradio btw reigns vs lesnar already has happened dipshit... no one is waiting for it to happen again... #noclue #WWEChamber
9.68011E+17,33:19.0,prashu103,9.19017E+17,0,I just watched Donnie darko and I can’t go to sleep now #donniedarko #HorrorMovies #mindfuck #noclue
9.68063E+17,00:37.0,neoliberalshil1,8.89231E+17,0,U #younguns have #NoIdea https://t.co/7QAbCsQE7e
9.68098E+17,18:09.0,center_maria,2938967188,0,@DAVILACOLON They are really on top of things #noclue
9.68102E+17,35:22.0,aringbearer,117126824,0,"@HC_Haplo @FinancialTimes @MorganStanley downgrades $ALB &amp; $SQM before earnings, based on #Lithium supply guess, unethical &amp; #NoClue."
9.68145E+17,26:37.0,50dw50,839778259,0,@ErnestMalley @Lee_JM75 @Th3DarkMark @ScarredForLife2 Erm... yeah I knew that... yeah definitely knew that... #NoIdea
9.68159E+17,22:29.0,GoldTopMilkman,142588761,0,Are Blaupunkt a decent brand or crap? #asktwitter #noclue
9.68177E+17,34:13.0,PamTerenzi,1284414900,0,"@JJ_Jarrard @NYFarmer Pardon my city slicker ignorance, but can you explain ""miss mothered""? #noclue"
9.68182E+17,54:13.0,ecobadger,1710829380,0,@Nigel_Farage @YardleyShooting So...... Why is #Fromage being invited on news shows remind me??#NoParty#NoMP's#NoMandate#NoIdea
9.6821E+17,42:00.0,Ritchhh,101742695,0,That clue is still a tough one #NoClue @wlrfm
9.6821E+17,42:31.0,alisonsculler,185550157,0,"@LwtEmmaBird @hypatia58 Given the guff our ngb social media bods do put out, I doubt it would matter if they did #noclue #dontproofread"
9.6821E+17,43:22.0,ehorstman36,2883551692,0,.......... Monday’s (fill in the blanks) 🤷🏻‍♂️ #monday #mondays #itsbeensaid #noidea… https://t.co/CvgUEcPQ4e
9.68227E+17,49:49.0,thechildintime,2480053699,0,"Yes, I know exactly what I‘m doing XD #noidea #coswork #coswürg https://t.co/MEG71L7kxk"
9.68231E+17,05:55.0,akjohnners,362037709,0,Watching a Swedish programme while messing on your phone doesn't work! #subtitles #noidea 🇸🇪 📱
9.68232E+17,12:51.0,rickhoo2458,3266704213,0,#Treason #Trump #RepublicDay #Headshots #RollTide #noclue #NRA and monkey logistics
9.68241E+17,47:29.0,Beerswme,1433581914,0,"I'm on too friends. check me out. I can't post yet, but when I can I will. Cheers! #vero #noidea #isitworthit 🍻😜😎 https://t.co/n75z5YLQZ0"
9.68242E+17,50:04.0,zanneya,46005138,0,"#thatmomentwhen you have a 4-5 page #essay due tomorrow, but you have #noclue what to even write… https://t.co/oGFUp3TAAp"
9.68242E+17,50:34.0,rhoddymair,57369853,0,@vern_cotter @thistlerugbypod Here's a starter for tenWhich Scotland players have scored more tries against England than Huw Jones?#noidea
9.68244E+17,58:30.0,wsinclair45,859145022,0,@mmmhotbreakfast My Son who is Year 8 is trying to teach ME how to do coding on his laptop and his new microbit computer chip. #noidea
9.68267E+17,29:20.0,ICE4SAFETY,19294579,0,#RealityCheck #ComingSoon for the #ChildStar #Hogg  #NoClue He is #BeingUsed https://t.co/cwURrY2jpH
9.68283E+17,35:49.0,iLLER_J,294603279,0,Could this be something ?...#workinprogress #noidea #tones #beats #musicislife #producer… https://t.co/MoIiaGDe2h
9.68307E+17,11:03.0,blauri,30586627,0,Another upset and nobody better than seeing Duke lose. Who’s winning the title this year? #NoClue
9.68312E+17,30:11.0,SaviAntonio,2292776210,0,If this is not stupid what is it????? https://t.co/st56r7hEvT #Stupidity #BrainDead #NoClue #DumbThingsToBragAbout
9.68363E+17,53:37.0,Cynical_Colin,3345138177,0,"@oharamal Dont be silly, it’s Arlene, #NoAccountability#NoMorals#NoIntegrity #NoClue"
9.68378E+17,51:09.0,Erika_Larsson81,309799096,0,@TrebleMakerKim What language is it in?? #noClue
9.68398E+17,10:47.0,cjshotto,417319399,0,@RochdaleCouncil Some of the placements of bus stops around the borough are an absolute joke #clueless #noidea
9.68414E+17,13:30.0,breto0101,340972274,0,Stick to the Mr Whippy machines bud. #noidea
9.68425E+17,57:51.0,boofus_smeg,32433161,0,Eton and Oxford must be so proud to have this cretin as a product of their establishments...#noclue https://t.co/xkF3YN5Uao
9.68473E+17,09:55.0,Murraysport,327268754,0,@HillF1 You and me both.. #fullofit #dreamer #noclue
9.68476E+17,19:11.0,cycleoptic,371701261,1,"@AsEasyAsRiding what travel do they ""watch"" and have experience of at public expense? #NoIdea @comadad"
9.68485E+17,58:24.0,gary_hazan,4417009589,0,@realDonaldTrump #NoClue-sion
9.6851E+17,34:56.0,214Ejayy,2903281069,0,Ima Boss You a Worker 🌃💰#NoClue https://t.co/vttThcwbnV
9.68532E+17,01:24.0,jerkexboyfriend,9.06305E+17,0,"Is @google play. A thing where I can buy music, them play it from my android phone? #noIdea"
9.68534E+17,12:33.0,polosvoice,18322172,0,This!!!! LOLOL.... #noclue #nosense #nonsense #ohokay 🤗 #SMH ~ MP XO 💖 https://t.co/mvieEGFkYh
